Metóda;Počet problémov;Priemerná odchýlka;Medián odchýlky;Smerodajná odchýlka odchýlky;Úspešnosť;Priemerný počet vyhodnotení do najlepšieho riešenia;Priemerný čas behu [s];Dĺžka porovnateľnej krivky
Random Search;214;0.015889547203772763;0.007527175904439399;0.02033641981239926;0.9110591900311528;20.869937694704046;0.00013811961066621906;40
pyBADS;214;0.0;0.0;0.0;1.0;20.686915887850468;2.1013703914055255;40
